fecha,provincia,termino_busqueda,categoria,volumen_busquedas,evento_aumento
2023-05-16,Mendoza,descuento nafta galicia,Descuentos,6175,1
2023-05-16,Buenos Aires,aumento combustible fecha,Precios,9258,1
2023-05-16,Buenos Aires,aplicacion ypf descuentos,Descuentos,5518,1
2023-05-17,CABA,axion energia ubicaciones,Estaciones,12544,1
2023-05-17,Tucumán,descuentos nafta modo,Descuentos,12614,1
2023-05-17,Buenos Aires,cuanto sube la nafta,Precios,8669,1
2023-05-17,Córdoba,bbva descuento ypf,Descuentos,9952,1
2023-05-17,CABA,puntos serviclub canje,Descuentos,15806,1
2023-05-17,Buenos Aires,aumento combustible fecha,Precios,14355,1
2023-05-17,Buenos Aires,cuanto cuesta llenar el tanque,Precios,13439,1
2023-05-17,CABA,precio gasoil axion,Precios,16177,1
2023-05-18,Buenos Aires,cuanto cuesta llenar el tanque,Precios,10933,1
2023-05-18,Mendoza,cuanto sube la nafta,Precios,5491,1
2023-05-18,Santa Fe,precio nafta hoy argentina,Precios,6801,1
2023-05-18,Buenos Aires,descuentos nafta modo,Descuentos,10027,1
2023-05-18,CABA,aumento combustible fecha,Precios,4524,1
2023-05-18,Córdoba,descuento nafta galicia,Descuentos,5432,1
2023-05-18,Misiones,precio litro infinia shell,Precios,7699,1
2023-05-18,Buenos Aires,precio gasoil axion,Precios,8126,1
2023-05-18,Buenos Aires,estaciones de servicio mas baratas,Estaciones,8663,1
2023-05-18,Buenos Aires,precio gasoil axion,Precios,10996,1
2023-05-19,Salta,descuento nafta personal pay,Descuentos,5403,1
2023-05-19,Córdoba,convertir auto a gnc precio,Alternativas,7984,1
2023-05-19,Buenos Aires,puntos serviclub canje,Descuentos,4670,1
2023-05-19,Tucumán,precio litro infinia shell,Precios,5324,1
2023-05-19,Misiones,aumento nafta hoy,Precios,6886,1
2023-05-19,Córdoba,descuentos nafta modo,Descuentos,6391,1
2023-05-19,CABA,puntos serviclub canje,Descuentos,12086,1
2023-05-19,Santa Fe,horarios colectivo urbano,Alternativas,5786,1
2023-05-19,Santa Fe,promociones cuenta dni nafta,Descuentos,7480,1
2023-05-19,Mendoza,aumento combustible fecha,Precios,3874,1
2023-05-19,Córdoba,shell abierta ahora,Estaciones,6766,1
2023-05-19,Santa Fe,precio nafta super ypf,Precios,7220,1
2023-05-20,CABA,estaciones de servicio mas baratas,Estaciones,1442,0
2023-05-20,CABA,cuanto cuesta llenar el tanque,Precios,2000,0
2023-05-21,CABA,shell abierta ahora,Estaciones,2489,0
2023-05-21,CABA,equipo gnc 5ta generacion precio,Alternativas,3148,0
2023-05-21,Buenos Aires,monopatín eléctrico precio,Alternativas,2460,0
2023-05-21,Buenos Aires,promociones cuenta dni nafta,Descuentos,1284,0
2023-05-21,Buenos Aires,estaciones de servicio mas baratas,Estaciones,1224,0
2023-05-22,Misiones,ypf cerca de mi,Estaciones,1997,0
2023-05-22,Córdoba,precio nafta super ypf,Precios,1752,0
2023-05-23,Buenos Aires,puntos serviclub canje,Descuentos,2620,0
2023-05-23,Santa Fe,horarios colectivo urbano,Alternativas,1992,0
2023-05-23,Buenos Aires,horarios colectivo urbano,Alternativas,1291,0
2023-05-23,Córdoba,ypf cerca de mi,Estaciones,2185,0
2023-05-24,Entre Ríos,promociones cuenta dni nafta,Descuentos,572,0
2023-05-24,Santa Fe,estaciones de servicio mas baratas,Estaciones,2072,0
2023-05-24,Córdoba,convertir auto a gnc precio,Alternativas,1117,0
2023-05-25,Córdoba,cuanto cuesta llenar el tanque,Precios,1060,0
2023-05-25,Mendoza,estaciones de servicio mas baratas,Estaciones,783,0
2023-05-25,Santa Fe,descuento nafta galicia,Descuentos,1458,0
2023-05-26,Entre Ríos,bbva descuento ypf,Descuentos,545,0
2023-05-26,Buenos Aires,estaciones de servicio mas baratas,Estaciones,1612,0
2023-05-26,CABA,cuanto cuesta llenar el tanque,Precios,2748,0
2023-05-26,CABA,bbva descuento ypf,Descuentos,1244,0
2023-05-27,Misiones,cuanto cuesta llenar el tanque,Precios,876,0
2023-05-27,Santa Fe,axion energia ubicaciones,Estaciones,2491,0
2023-05-27,Tucumán,aumento nafta hoy,Precios,1570,0
2023-05-28,Buenos Aires,cuanto sube la nafta,Precios,1016,0
2023-05-28,Buenos Aires,aplicacion ypf descuentos,Descuentos,3251,0
2023-05-28,Santa Fe,aumento combustible fecha,Precios,2365,0
2023-05-28,Tucumán,horarios colectivo urbano,Alternativas,818,0
2023-05-28,Córdoba,precio litro infinia shell,Precios,1572,0
2023-05-29,Misiones,banco nacion descuento combustible,Descuentos,989,0
2023-05-29,CABA,cuanto cuesta llenar el tanque,Precios,3094,0
2023-05-29,Salta,cuanto gasta un auto por kilometro,Alternativas,1148,0
2023-05-29,Buenos Aires,tarjeta sube saldo,Alternativas,1380,0
2023-05-29,Santa Fe,equipo gnc 5ta generacion precio,Alternativas,2428,0
2023-05-30,Mendoza,descuento nafta galicia,Descuentos,2185,0
2023-05-30,Mendoza,axion energia ubicaciones,Estaciones,1271,0
2023-05-31,Córdoba,precio gasoil axion,Precios,695,0
2023-05-31,Buenos Aires,monopatín eléctrico precio,Alternativas,2001,0
2023-05-31,Buenos Aires,aumento combustible fecha,Precios,1738,0
2023-06-01,Entre Ríos,shell abierta ahora,Estaciones,1120,0
2023-06-01,Tucumán,descuento nafta personal pay,Descuentos,568,0
2023-06-01,Buenos Aires,horarios colectivo urbano,Alternativas,1107,0
2023-06-02,CABA,descuento nafta personal pay,Descuentos,3418,0
2023-06-02,CABA,cuanto gasta un auto por kilometro,Alternativas,2877,0
2023-06-03,Córdoba,convertir auto a gnc precio,Alternativas,1408,0
2023-06-03,CABA,shell abierta ahora,Estaciones,1965,0
2023-06-04,Mendoza,equipo gnc 5ta generacion precio,Alternativas,970,0
2023-06-04,CABA,descuento nafta galicia,Descuentos,1578,0
2023-06-04,CABA,puntos serviclub canje,Descuentos,2737,0
2023-06-05,Buenos Aires,aumento combustible fecha,Precios,1551,0
2023-06-05,Mendoza,estaciones de servicio mas baratas,Estaciones,1937,0
2023-06-05,Buenos Aires,precio litro infinia shell,Precios,1269,0
2023-06-05,CABA,aumento nafta hoy,Precios,1590,0
2023-06-05,Córdoba,precio nafta hoy argentina,Precios,2244,0
2023-06-06,CABA,shell abierta ahora,Estaciones,2691,0
2023-06-06,Mendoza,horarios colectivo urbano,Alternativas,829,0
2023-06-06,CABA,cuanto gasta un auto por kilometro,Alternativas,1875,0
2023-06-06,Córdoba,axion energia ubicaciones,Estaciones,2933,0
2023-06-07,Córdoba,cuanto sube la nafta,Precios,816,0
2023-06-07,Santa Fe,cuanto sube la nafta,Precios,2732,0
2023-06-07,Buenos Aires,axion energia ubicaciones,Estaciones,834,0
2023-06-07,Mendoza,cuanto sube la nafta,Precios,1910,0
2023-06-07,Córdoba,ypf cerca de mi,Estaciones,2238,0
2023-06-08,Mendoza,estaciones de servicio mas baratas,Estaciones,1616,0
2023-06-08,Tucumán,horarios colectivo urbano,Alternativas,1887,0
2023-06-08,CABA,monopatín eléctrico precio,Alternativas,2429,0
2023-06-09,CABA,aplicacion ypf descuentos,Descuentos,2931,0
2023-06-09,Santa Fe,aumento combustible fecha,Precios,1103,0
2023-06-09,Buenos Aires,descuento nafta galicia,Descuentos,973,0
2023-06-10,Buenos Aires,axion energia ubicaciones,Estaciones,762,0
2023-06-10,Tucumán,puntos serviclub canje,Descuentos,720,0
2023-06-10,Córdoba,aplicacion ypf descuentos,Descuentos,537,0
2023-06-10,CABA,precio gasoil axion,Precios,1530,0
2023-06-11,Buenos Aires,puntos serviclub canje,Descuentos,3129,0
2023-06-11,Tucumán,convertir auto a gnc precio,Alternativas,847,0
2023-06-11,Santa Fe,aumento combustible fecha,Precios,1229,0
2023-06-11,Córdoba,promociones cuenta dni nafta,Descuentos,2641,0
2023-06-11,CABA,estacion de servicio con gnc cerca,Estaciones,2702,0
2023-06-12,Santa Fe,estacion de servicio con gnc cerca,Estaciones,1912,0
2023-06-12,CABA,aumento combustible fecha,Precios,1693,0
2023-06-12,CABA,tarjeta sube saldo,Alternativas,2735,0
2023-06-12,Mendoza,bbva descuento ypf,Descuentos,1792,0
2023-06-13,Buenos Aires,cuanto cuesta llenar el tanque,Precios,2987,0
2023-06-13,Buenos Aires,descuento nafta personal pay,Descuentos,1553,0
2023-06-13,Buenos Aires,precio litro infinia shell,Precios,2236,0
2023-06-13,Tucumán,estaciones de servicio mas baratas,Estaciones,883,0
2023-06-14,Santa Fe,banco nacion descuento combustible,Descuentos,2802,0
2023-06-14,CABA,descuento nafta personal pay,Descuentos,3436,0
2023-06-14,Buenos Aires,ypf cerca de mi,Estaciones,2146,0
2023-06-15,CABA,equipo gnc 5ta generacion precio,Alternativas,10597,1
2023-06-15,Buenos Aires,cuanto sube la nafta,Precios,7358,1
2023-06-15,Salta,cuanto sube la nafta,Precios,6375,1
2023-06-15,Buenos Aires,banco nacion descuento combustible,Descuentos,7061,1
2023-06-15,Córdoba,descuento nafta galicia,Descuentos,8725,1
2023-06-15,Buenos Aires,descuentos nafta modo,Descuentos,6643,1
2023-06-15,Entre Ríos,estacion de servicio con gnc cerca,Estaciones,3798,1
2023-06-15,Neuquén,axion energia ubicaciones,Estaciones,6005,1
2023-06-15,Buenos Aires,descuento nafta galicia,Descuentos,9330,1
2023-06-15,CABA,horarios colectivo urbano,Alternativas,10576,1
2023-06-15,CABA,aumento nafta hoy,Precios,7649,1
2023-06-16,Santa Fe,puntos serviclub canje,Descuentos,8248,1
2023-06-16,Córdoba,bbva descuento ypf,Descuentos,7482,1
2023-06-16,Córdoba,horarios colectivo urbano,Alternativas,7072,1
2023-06-16,Buenos Aires,puntos serviclub canje,Descuentos,8409,1
2023-06-16,CABA,aumento nafta hoy,Precios,8543,1
2023-06-16,Misiones,equipo gnc 5ta generacion precio,Alternativas,5717,1
2023-06-16,Santa Fe,aplicacion ypf descuentos,Descuentos,8599,1
2023-06-16,Santa Fe,promociones cuenta dni nafta,Descuentos,4751,1
2023-06-16,Córdoba,descuento nafta galicia,Descuentos,7234,1
2023-06-16,Buenos Aires,aumento combustible fecha,Precios,6530,1
2023-06-16,Buenos Aires,descuentos nafta modo,Descuentos,11413,1
2023-06-16,Buenos Aires,descuentos nafta modo,Descuentos,4848,1
2023-06-16,CABA,descuento nafta personal pay,Descuentos,8614,1
2023-06-16,Entre Ríos,ypf cerca de mi,Estaciones,4304,1
2023-06-16,Tucumán,banco nacion descuento combustible,Descuentos,5110,1
2023-06-17,Buenos Aires,descuento nafta personal pay,Descuentos,16072,1
2023-06-17,Buenos Aires,estacion de servicio con gnc cerca,Estaciones,18431,1
2023-06-17,Santa Fe,cuanto sube la nafta,Precios,8254,1
2023-06-17,CABA,estaciones de servicio mas baratas,Estaciones,10446,1
2023-06-17,Santa Fe,descuentos nafta modo,Descuentos,15958,1
2023-06-17,Mendoza,aumento nafta hoy,Precios,11750,1
2023-06-17,CABA,promociones cuenta dni nafta,Descuentos,16433,1
2023-06-17,Mendoza,precio litro infinia shell,Precios,14954,1
2023-06-17,CABA,precio litro infinia shell,Precios,17161,1
2023-06-17,Misiones,aumento combustible fecha,Precios,11415,1
2023-06-17,Buenos Aires,cuanto cuesta llenar el tanque,Precios,19866,1
2023-06-17,Buenos Aires,precio litro infinia shell,Precios,13272,1
2023-06-17,CABA,aumento nafta hoy,Precios,10193,1
2023-06-17,Salta,banco nacion descuento combustible,Descuentos,8430,1
2023-06-17,Misiones,precio gasoil axion,Precios,13542,1
2023-06-18,Córdoba,axion energia ubicaciones,Estaciones,9342,1
2023-06-18,CABA,aumento nafta hoy,Precios,8368,1
2023-06-18,Salta,precio nafta hoy argentina,Precios,4490,1
2023-06-18,CABA,bbva descuento ypf,Descuentos,4982,1
2023-06-18,Mendoza,aplicacion ypf descuentos,Descuentos,5653,1
2023-06-18,CABA,descuento nafta galicia,Descuentos,9143,1
2023-06-18,Entre Ríos,cuanto sube la nafta,Precios,4344,1
2023-06-18,Mendoza,descuento nafta personal pay,Descuentos,6609,1
2023-06-18,Tucumán,cuanto cuesta llenar el tanque,Precios,7643,1
2023-06-18,CABA,aumento nafta hoy,Precios,5266,1
2023-06-18,Buenos Aires,precio nafta super ypf,Precios,6929,1
2023-06-18,Córdoba,promociones cuenta dni nafta,Descuentos,4255,1
2023-06-18,Buenos Aires,descuentos nafta modo,Descuentos,8939,1
2023-06-18,Buenos Aires,descuento nafta personal pay,Descuentos,4559,1
2023-06-18,Buenos Aires,precio litro infinia shell,Precios,5424,1
2023-06-18,Neuquén,monopatín eléctrico precio,Alternativas,5553,1
2023-06-18,CABA,aplicacion ypf descuentos,Descuentos,5462,1
2023-06-18,Mendoza,bbva descuento ypf,Descuentos,3807,1
2023-06-19,Buenos Aires,cuanto sube la nafta,Precios,8558,1
2023-06-19,Córdoba,bbva descuento ypf,Descuentos,6928,1
2023-06-19,Buenos Aires,precio nafta super ypf,Precios,7003,1
2023-06-19,Córdoba,aumento combustible fecha,Precios,6943,1
2023-06-19,Entre Ríos,horarios colectivo urbano,Alternativas,7045,1
2023-06-19,Mendoza,bbva descuento ypf,Descuentos,5020,1
2023-06-19,Mendoza,descuento nafta galicia,Descuentos,6573,1
2023-06-19,Mendoza,banco nacion descuento combustible,Descuentos,4370,1
2023-06-19,Neuquén,precio gasoil axion,Precios,4617,1
2023-06-19,CABA,banco nacion descuento combustible,Descuentos,6702,1
2023-06-19,Córdoba,descuentos nafta modo,Descuentos,7229,1
2023-06-19,Buenos Aires,banco nacion descuento combustible,Descuentos,11664,1
2023-06-19,Neuquén,equipo gnc 5ta generacion precio,Alternativas,6286,1
2023-06-19,Mendoza,aumento combustible fecha,Precios,5306,1
2023-06-19,CABA,descuentos nafta modo,Descuentos,8285,1
2023-06-19,Buenos Aires,aumento combustible fecha,Precios,8713,1
2023-06-20,Córdoba,estaciones de servicio mas baratas,Estaciones,1016,0
2023-06-20,Salta,monopatín eléctrico precio,Alternativas,841,0
2023-06-20,Buenos Aires,aumento combustible fecha,Precios,1354,0
2023-06-20,Mendoza,cuanto cuesta llenar el tanque,Precios,1355,0
2023-06-21,CABA,puntos serviclub canje,Descuentos,3302,0
2023-06-21,Córdoba,estacion de servicio con gnc cerca,Estaciones,2792,0
2023-06-22,Salta,ypf cerca de mi,Estaciones,676,0
2023-06-22,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,2961,0
2023-06-23,CABA,aplicacion ypf descuentos,Descuentos,2193,0
2023-06-23,Buenos Aires,descuento nafta personal pay,Descuentos,1712,0
2023-06-24,Tucumán,tarjeta sube saldo,Alternativas,1399,0
2023-06-24,Buenos Aires,precio nafta hoy argentina,Precios,1993,0
2023-06-24,Buenos Aires,bbva descuento ypf,Descuentos,1527,0
2023-06-24,Buenos Aires,precio gasoil axion,Precios,2208,0
2023-06-24,Santa Fe,aplicacion ypf descuentos,Descuentos,2496,0
2023-06-25,Mendoza,precio nafta hoy argentina,Precios,1686,0
2023-06-25,Buenos Aires,ypf cerca de mi,Estaciones,2918,0
2023-06-25,Salta,equipo gnc 5ta generacion precio,Alternativas,586,0
2023-06-25,Buenos Aires,precio gasoil axion,Precios,3013,0
2023-06-26,CABA,descuentos nafta modo,Descuentos,1392,0
2023-06-26,Mendoza,axion energia ubicaciones,Estaciones,1666,0
2023-06-26,Entre Ríos,precio nafta hoy argentina,Precios,1825,0
2023-06-26,Santa Fe,ypf cerca de mi,Estaciones,2596,0
2023-06-27,CABA,estacion de servicio con gnc cerca,Estaciones,872,0
2023-06-27,Tucumán,shell abierta ahora,Estaciones,2075,0
2023-06-27,CABA,descuentos nafta modo,Descuentos,3236,0
2023-06-27,Tucumán,cuanto sube la nafta,Precios,2216,0
2023-06-28,CABA,precio gasoil axion,Precios,3022,0
2023-06-28,Salta,equipo gnc 5ta generacion precio,Alternativas,1318,0
2023-06-28,Santa Fe,estacion de servicio con gnc cerca,Estaciones,2542,0
2023-06-28,Córdoba,bbva descuento ypf,Descuentos,1619,0
2023-06-29,Mendoza,precio litro infinia shell,Precios,2219,0
2023-06-29,CABA,aumento nafta hoy,Precios,1908,0
2023-06-29,CABA,precio nafta hoy argentina,Precios,1127,0
2023-06-30,Santa Fe,convertir auto a gnc precio,Alternativas,570,0
2023-06-30,CABA,descuento nafta galicia,Descuentos,2996,0
2023-06-30,Buenos Aires,precio nafta super ypf,Precios,1337,0
2023-06-30,Tucumán,precio nafta hoy argentina,Precios,571,0
2023-07-01,Córdoba,cuanto gasta un auto por kilometro,Alternativas,2401,0
2023-07-01,Buenos Aires,cuanto sube la nafta,Precios,1811,0
2023-07-02,Córdoba,cuanto sube la nafta,Precios,1606,0
2023-07-02,Buenos Aires,ypf cerca de mi,Estaciones,2615,0
2023-07-02,Santa Fe,aumento combustible fecha,Precios,1079,0
2023-07-02,Córdoba,equipo gnc 5ta generacion precio,Alternativas,932,0
2023-07-03,Buenos Aires,ypf cerca de mi,Estaciones,1130,0
2023-07-03,CABA,descuento nafta galicia,Descuentos,1283,0
2023-07-03,CABA,monopatín eléctrico precio,Alternativas,1803,0
2023-07-03,Buenos Aires,precio gasoil axion,Precios,3224,0
2023-07-04,Tucumán,cuanto sube la nafta,Precios,1357,0
2023-07-04,Buenos Aires,horarios colectivo urbano,Alternativas,1628,0
2023-07-04,Entre Ríos,descuento nafta galicia,Descuentos,2080,0
2023-07-04,Tucumán,aumento nafta hoy,Precios,870,0
2023-07-04,CABA,puntos serviclub canje,Descuentos,1849,0
2023-07-05,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,3087,0
2023-07-05,Buenos Aires,monopatín eléctrico precio,Alternativas,3597,0
2023-07-05,CABA,descuento nafta galicia,Descuentos,644,0
2023-07-06,Buenos Aires,descuentos nafta modo,Descuentos,7740,1
2023-07-06,Buenos Aires,shell abierta ahora,Estaciones,8025,1
2023-07-06,Misiones,equipo gnc 5ta generacion precio,Alternativas,6396,1
2023-07-06,Mendoza,precio gasoil axion,Precios,6001,1
2023-07-06,CABA,precio gasoil axion,Precios,8070,1
2023-07-06,Misiones,aumento nafta hoy,Precios,5623,1
2023-07-06,Santa Fe,descuentos nafta modo,Descuentos,4497,1
2023-07-06,Santa Fe,precio nafta hoy argentina,Precios,7133,1
2023-07-06,CABA,cuanto sube la nafta,Precios,7882,1
2023-07-07,Salta,precio litro infinia shell,Precios,8201,1
2023-07-07,Buenos Aires,precio gasoil axion,Precios,9562,1
2023-07-07,Buenos Aires,cuanto cuesta llenar el tanque,Precios,7426,1
2023-07-07,Misiones,aumento combustible fecha,Precios,6441,1
2023-07-07,Salta,tarjeta sube saldo,Alternativas,4477,1
2023-07-07,Buenos Aires,precio nafta super ypf,Precios,7364,1
2023-07-07,Mendoza,convertir auto a gnc precio,Alternativas,8086,1
2023-07-07,CABA,aumento nafta hoy,Precios,6652,1
2023-07-07,Buenos Aires,cuanto cuesta llenar el tanque,Precios,7986,1
2023-07-07,Mendoza,precio nafta hoy argentina,Precios,7513,1
2023-07-07,Buenos Aires,cuanto sube la nafta,Precios,6605,1
2023-07-07,Buenos Aires,aumento nafta hoy,Precios,8005,1
2023-07-07,Buenos Aires,precio gasoil axion,Precios,7472,1
2023-07-07,Buenos Aires,precio gasoil axion,Precios,6251,1
2023-07-07,Salta,bbva descuento ypf,Descuentos,7790,1
2023-07-07,CABA,descuento nafta personal pay,Descuentos,11049,1
2023-07-07,Tucumán,descuento nafta personal pay,Descuentos,3784,1
2023-07-08,Mendoza,precio litro infinia shell,Precios,8965,1
2023-07-08,Buenos Aires,precio gasoil axion,Precios,13670,1
2023-07-08,CABA,shell abierta ahora,Estaciones,10107,1
2023-07-08,Salta,estacion de servicio con gnc cerca,Estaciones,13910,1
2023-07-08,Buenos Aires,descuento nafta personal pay,Descuentos,17794,1
2023-07-08,Buenos Aires,promociones cuenta dni nafta,Descuentos,9554,1
2023-07-08,Santa Fe,banco nacion descuento combustible,Descuentos,8284,1
2023-07-08,Buenos Aires,tarjeta sube saldo,Alternativas,15939,1
2023-07-08,Mendoza,descuentos nafta modo,Descuentos,11308,1
2023-07-08,Santa Fe,tarjeta sube saldo,Alternativas,11127,1
2023-07-08,CABA,precio nafta super ypf,Precios,17437,1
2023-07-09,Neuquén,descuentos nafta modo,Descuentos,4386,1
2023-07-09,Buenos Aires,descuento nafta galicia,Descuentos,4855,1
2023-07-09,CABA,puntos serviclub canje,Descuentos,5331,1
2023-07-09,Mendoza,promociones cuenta dni nafta,Descuentos,4631,1
2023-07-09,Buenos Aires,precio litro infinia shell,Precios,4373,1
2023-07-09,Salta,convertir auto a gnc precio,Alternativas,8251,1
2023-07-09,Buenos Aires,aumento nafta hoy,Precios,10539,1
2023-07-09,Buenos Aires,puntos serviclub canje,Descuentos,6074,1
2023-07-09,Santa Fe,precio gasoil axion,Precios,5336,1
2023-07-09,Tucumán,precio nafta super ypf,Precios,7931,1
2023-07-09,CABA,promociones cuenta dni nafta,Descuentos,9887,1
2023-07-09,Santa Fe,estacion de servicio con gnc cerca,Estaciones,8845,1
2023-07-09,Santa Fe,banco nacion descuento combustible,Descuentos,5560,1
2023-07-09,Entre Ríos,aumento nafta hoy,Precios,6160,1
2023-07-10,Buenos Aires,cuanto sube la nafta,Precios,10198,1
2023-07-10,Tucumán,precio litro infinia shell,Precios,5861,1
2023-07-10,CABA,aumento nafta hoy,Precios,6707,1
2023-07-10,Córdoba,descuento nafta personal pay,Descuentos,9308,1
2023-07-10,Santa Fe,promociones cuenta dni nafta,Descuentos,3881,1
2023-07-10,Mendoza,cuanto sube la nafta,Precios,6208,1
2023-07-10,Santa Fe,descuento nafta galicia,Descuentos,8351,1
2023-07-10,CABA,banco nacion descuento combustible,Descuentos,7639,1
2023-07-10,Buenos Aires,precio nafta super ypf,Precios,11370,1
2023-07-10,Buenos Aires,aumento combustible fecha,Precios,7107,1
2023-07-10,Buenos Aires,descuentos nafta modo,Descuentos,10301,1
2023-07-10,Buenos Aires,puntos serviclub canje,Descuentos,11124,1
2023-07-10,Córdoba,banco nacion descuento combustible,Descuentos,5586,1
2023-07-10,CABA,descuento nafta personal pay,Descuentos,7986,1
2023-07-10,Buenos Aires,precio nafta hoy argentina,Precios,10278,1
2023-07-10,Misiones,cuanto sube la nafta,Precios,6075,1
2023-07-10,Misiones,descuentos nafta modo,Descuentos,7466,1
2023-07-10,CABA,precio nafta super ypf,Precios,11635,1
2023-07-10,Santa Fe,cuanto cuesta llenar el tanque,Precios,8160,1
2023-07-11,Santa Fe,aumento nafta hoy,Precios,2254,0
2023-07-11,Tucumán,aplicacion ypf descuentos,Descuentos,1625,0
2023-07-11,Buenos Aires,cuanto gasta un auto por kilometro,Alternativas,982,0
2023-07-11,CABA,bbva descuento ypf,Descuentos,3018,0
2023-07-12,Buenos Aires,horarios colectivo urbano,Alternativas,1997,0
2023-07-12,Buenos Aires,horarios colectivo urbano,Alternativas,1540,0
2023-07-12,Córdoba,shell abierta ahora,Estaciones,1233,0
2023-07-12,Neuquén,shell abierta ahora,Estaciones,1971,0
2023-07-12,CABA,estaciones de servicio mas baratas,Estaciones,3066,0
2023-07-13,Tucumán,shell abierta ahora,Estaciones,858,0
2023-07-13,CABA,precio litro infinia shell,Precios,3271,0
2023-07-13,CABA,monopatín eléctrico precio,Alternativas,3034,0
2023-07-13,Buenos Aires,monopatín eléctrico precio,Alternativas,2714,0
2023-07-14,Santa Fe,monopatín eléctrico precio,Alternativas,2334,0
2023-07-14,Neuquén,descuento nafta galicia,Descuentos,2021,0
2023-07-14,Córdoba,tarjeta sube saldo,Alternativas,1437,0
2023-07-15,Buenos Aires,cuanto cuesta llenar el tanque,Precios,1750,0
2023-07-15,Buenos Aires,aumento nafta hoy,Precios,2362,0
2023-07-15,CABA,monopatín eléctrico precio,Alternativas,1546,0
2023-07-15,Córdoba,promociones cuenta dni nafta,Descuentos,1004,0
2023-07-16,Entre Ríos,ypf cerca de mi,Estaciones,1508,0
2023-07-16,Buenos Aires,descuento nafta galicia,Descuentos,2775,0
2023-07-17,Salta,descuento nafta personal pay,Descuentos,1448,0
2023-07-17,Santa Fe,aumento nafta hoy,Precios,1055,0
2023-07-17,Buenos Aires,precio litro infinia shell,Precios,1175,0
2023-07-18,CABA,tarjeta sube saldo,Alternativas,1535,0
2023-07-18,Córdoba,tarjeta sube saldo,Alternativas,1778,0
2023-07-18,Buenos Aires,cuanto cuesta llenar el tanque,Precios,2142,0
2023-07-18,Buenos Aires,tarjeta sube saldo,Alternativas,3394,0
2023-07-18,Tucumán,cuanto cuesta llenar el tanque,Precios,1589,0
2023-07-19,Neuquén,promociones cuenta dni nafta,Descuentos,1192,0
2023-07-19,Buenos Aires,ypf cerca de mi,Estaciones,3550,0
2023-07-19,Buenos Aires,shell abierta ahora,Estaciones,2154,0
2023-07-19,Misiones,precio litro infinia shell,Precios,532,0
2023-07-19,Buenos Aires,monopatín eléctrico precio,Alternativas,851,0
2023-07-20,Buenos Aires,convertir auto a gnc precio,Alternativas,1544,0
2023-07-20,CABA,axion energia ubicaciones,Estaciones,816,0
2023-07-20,Córdoba,equipo gnc 5ta generacion precio,Alternativas,960,0
2023-07-21,Tucumán,cuanto cuesta llenar el tanque,Precios,1079,0
2023-07-21,Buenos Aires,promociones cuenta dni nafta,Descuentos,1347,0
2023-07-22,Tucumán,estaciones de servicio mas baratas,Estaciones,1002,0
2023-07-22,Córdoba,puntos serviclub canje,Descuentos,2644,0
2023-07-22,Córdoba,precio nafta hoy argentina,Precios,1038,0
2023-07-23,Tucumán,cuanto gasta un auto por kilometro,Alternativas,2077,0
2023-07-23,Buenos Aires,horarios colectivo urbano,Alternativas,3057,0
2023-07-24,CABA,cuanto cuesta llenar el tanque,Precios,1609,0
2023-07-24,CABA,precio nafta hoy argentina,Precios,2459,0
2023-07-24,CABA,descuento nafta galicia,Descuentos,772,0
2023-07-24,Córdoba,cuanto sube la nafta,Precios,1849,0
2023-07-25,Misiones,precio gasoil axion,Precios,1856,0
2023-07-25,Buenos Aires,monopatín eléctrico precio,Alternativas,910,0
2023-07-26,Córdoba,promociones cuenta dni nafta,Descuentos,2251,0
2023-07-26,CABA,promociones cuenta dni nafta,Descuentos,764,0
2023-07-26,Mendoza,monopatín eléctrico precio,Alternativas,1436,0
2023-07-26,Buenos Aires,precio gasoil axion,Precios,2173,0
2023-07-26,Buenos Aires,banco nacion descuento combustible,Descuentos,2836,0
2023-07-27,Buenos Aires,aumento combustible fecha,Precios,2399,0
2023-07-27,CABA,estacion de servicio con gnc cerca,Estaciones,1182,0
2023-07-27,Misiones,precio litro infinia shell,Precios,1403,0
2023-07-27,Córdoba,monopatín eléctrico precio,Alternativas,971,0
2023-07-27,Buenos Aires,precio nafta hoy argentina,Precios,1893,0
2023-07-28,Buenos Aires,descuento nafta personal pay,Descuentos,1323,0
2023-07-28,Santa Fe,shell abierta ahora,Estaciones,568,0
2023-07-28,Santa Fe,cuanto gasta un auto por kilometro,Alternativas,2142,0
2023-07-28,Santa Fe,shell abierta ahora,Estaciones,2757,0
2023-07-29,CABA,shell abierta ahora,Estaciones,2973,0
2023-07-29,Salta,precio litro infinia shell,Precios,2134,0
2023-07-29,Buenos Aires,puntos serviclub canje,Descuentos,1047,0
2023-07-29,Córdoba,equipo gnc 5ta generacion precio,Alternativas,990,0
2023-07-29,Buenos Aires,precio nafta hoy argentina,Precios,1043,0
2023-07-30,Buenos Aires,banco nacion descuento combustible,Descuentos,1499,0
2023-07-30,Mendoza,axion energia ubicaciones,Estaciones,990,0
2023-07-30,CABA,cuanto sube la nafta,Precios,1022,0
2023-07-30,CABA,aumento combustible fecha,Precios,3484,0
2023-07-30,Buenos Aires,puntos serviclub canje,Descuentos,1182,0
2023-07-31,Santa Fe,axion energia ubicaciones,Estaciones,1778,0
